,rid
1311,6462
1312,6462
1313,6487
1314,6487
1315,6524
1316,6524
1317,6595
1318,6597
1319,6597
1320,6597
1321,6813
1322,6917
1323,382
1324,382
1325,4043
1326,4043
1327,4199
1328,4199
1329,4199
1330,4453
1331,4453
1332,4453
1333,4855
1334,4855
1335,4855
1336,4855
1337,6100
1338,6100
1339,6100
1340,6119
1341,6133
1342,6133
1343,6133
1344,6428
1345,6428
1346,6439
1347,6517
1348,6517
1349,6543
1350,6543
1351,6550
1352,6550
1353,6550
1354,6550
1355,6624
1356,6750
1357,6750
1358,6775
1359,6775
1360,605
1361,680
1362,680
1363,680
1364,4507
1365,4507
1366,4507
1367,4514
1368,4514
1369,4514
1370,4514
1371,4891
1372,4891
1373,4891
1374,4891
1375,4896
1376,4896
1377,4896
1378,5214
1379,5214
1380,5243
1381,5243
1382,5243
1383,5243
1384,6559
1385,6559
1386,6559
1387,6559
1388,6683
1389,6721
1390,6721
1391,6724
1392,6724
1393,6724
1394,7015
1395,7015
1396,7060
1397,7083
1398,259
1399,259
1400,1427
1401,1427
1402,1427
1403,2234
1404,2234
1405,2234
1406,2234
1407,4148
1408,4148
1409,4148
1410,4197
1411,4197
1412,4198
1413,4210
1414,4210
1415,4210
1416,4210
1417,4301
1418,4604
1419,4604
1420,4765
1421,4928
1422,5132
1423,5132
1424,5132
1425,5132
1426,5132
1427,5185
1428,5185
1429,5185
1430,5185
1431,5200
1432,5200
1433,5200
1434,5200
1435,5228
1436,5228
1437,5228
1438,5266
1439,5266
1440,5266
1441,6024
1442,6024
1443,6024
1444,6147
1445,6147
1446,6147
1447,6173
1448,6173
1449,6173
1450,6203
1451,6203
1452,6203
1453,6232
1454,6241
1455,6330
1456,6330
1457,6330
1458,6330
1459,6348
1460,6357
1461,6357
1462,6357
1463,6433
1464,6433
1465,6433
1466,6436
1467,6436
1468,6512
1469,6512
1470,6512
1471,6512
1472,6512
1473,6549
1474,6549
1475,6549
1476,200
1477,272
